feature,f_score,p_value
B01_month_06_mean,25.754904334404543,3.2613154476548647e-302
B05_month_10_mean,25.651096448824557,7.676613571477051e-301
B07_month_01_mean,25.561791172903895,1.16210961777807e-299
B01_month_02_mean,25.33857898016172,1.0340510140777356e-296
B8A_month_01_mean,24.871600627502183,1.5261709450872312e-290
B10_max,24.816562922894242,8.139152914175086e-290
B10_range,24.785793717162505,2.0748661825584824e-289
B04_q75,22.257579434576613,4.792912048194653e-256
B10_month_03_mean,21.891443104690286,3.208718209169993e-251
B02_q75,21.69378572207152,1.290394848764067e-248
B11_iqr,21.686308689096656,1.6189420333507166e-248
B03_q75,21.65253626365248,4.509905248090236e-248
B09_month_10_mean,20.977869510422536,3.459363770950557e-239
B8A_q75,20.79177192221023,9.738301713490811e-237
B11_std,20.489699318394145,9.188052388014937e-233
B8A_std,20.04385968154827,6.709453414050859e-227
B07_std,19.89127537551752,6.800429489366991e-225
B12_std,19.74379056645958,5.900799950189662e-223
B07_q75,18.7698651593982,3.626313831041539e-210
B06_std,18.75796083023949,5.1957366316325064e-210
nbr_max,17.830212248281196,7.523751641684358e-198
B02_month_05_mean,17.829306138445407,7.73215170747611e-198
B10_month_10_mean,17.529559106472174,6.491326407945689e-194
B10_month_08_mean,16.886618764407284,1.6596369083362392e-185
B05_q75,16.301189252723304,7.307829896596269e-178
B06_q75,15.950756234213806,2.712573612852717e-173
B10_month_07_mean,15.435967346048468,1.3722647129597016e-166
B03_range,14.553019514254604,4.066981591652045e-155
B02_range,14.455755701749585,7.425662256621352e-154
B04_range,14.144204920875678,8.093717793970737e-150
B11_range,13.490411534509896,2.3097550195424853e-141
nbr_min,13.180792398982216,2.2859763197188926e-137
B05_std,13.166148396885614,3.531006880925118e-137
B08_range,13.107641732925778,2.005281092171419e-136
B03_max,13.012585544151506,3.366537661848334e-135
B02_max,12.455024033867318,5.015614680532851e-128
B04_max,11.810399082531994,9.22901408117368e-120
B11_max,11.723419724449588,1.196180913412285e-118
B12_range,10.941032205164937,1.138017562536194e-108
B12_max,10.772691270813985,1.5687492918681124e-106
B08_max,10.26400243408437,4.3886328779362576e-100
B05_max,8.412643304011185,6.722451638108249e-77
B06_max,8.171180455624887,6.487824276078188e-74
B8A_max,8.085970071945596,7.290373651293842e-73
B8A_range,8.07515150624727,9.909330834349083e-73
B07_max,7.984594164885481,1.2909264995896173e-71
B07_range,7.932458574510667,5.64954926211264e-71
B06_range,7.871610574446686,3.159174369589005e-70
B05_range,7.835637785534969,8.733138779491944e-70
